,track_id,track_name,track_number,track_popularity,explicit,artist_name,artist_popularity,artist_followers,artist_genres,album_id,album_name,album_release_date,album_total_tracks,album_type,track_duration_min,genres_list,genres_grouped,genres_final,year
2066,1JBv0j7SZPNHhV96XaDF9X,Johnny Cash,10,50,False,Cairokee,60,4296747,"egyptian pop, egyptian hip hop, arabic hip hop, mahraganat",6ucy4v9cUETA0yRQx8D34F,Roma,2022-09-23,12,album,2.78,"['egyptian pop', 'egyptian hip hop', 'arabic hip hop', 'mahraganat']",['other'],other,2022
2067,7zE6sykTrQkXMaiZTZJSFJ,Costarica,4,47,False,Cairokee,60,4294346,"egyptian pop, egyptian hip hop, arabic hip hop, mahraganat",6ucy4v9cUETA0yRQx8D34F,Roma,2022-09-23,12,album,3.76,"['egyptian pop', 'egyptian hip hop', 'arabic hip hop', 'mahraganat']",['other'],other,2022
2068,64UXkp5qVMJduPib0auZnn,Roberto,6,42,False,Cairokee,60,4294346,"egyptian pop, egyptian hip hop, arabic hip hop, mahraganat",6ucy4v9cUETA0yRQx8D34F,Roma,2022-09-23,12,album,3.43,"['egyptian pop', 'egyptian hip hop', 'arabic hip hop', 'mahraganat']",['other'],other,2022
2069,5GDhHuLpmneh1DCMyKMJp3,Roma,7,59,False,Cairokee,60,4296747,"egyptian pop, egyptian hip hop, arabic hip hop, mahraganat",6ucy4v9cUETA0yRQx8D34F,Roma,2022-09-23,12,album,4.51,"['egyptian pop', 'egyptian hip hop', 'arabic hip hop', 'mahraganat']",['other'],other,2022
2070,1EBmjew9K69csBqRxI8BeO,Samurai,12,58,False,Cairokee,60,4299545,"egyptian pop, egyptian hip hop, arabic hip hop, mahraganat",6ucy4v9cUETA0yRQx8D34F,Roma,2022-09-23,12,album,2.95,"['egyptian pop', 'egyptian hip hop', 'arabic hip hop', 'mahraganat']",['other'],other,2022
2071,2HafqoJbgXdtjwCOvNEF14,Si No Estás,1,79,False,iñigo quintero,64,591695,,66k6EGkPtYoN44anGIsEPW,Si No Estás,2022-09-23,1,single,3.06,[],['unknown'],unknown,2022
2072,38T0tPVZHcPZyhtOcCP7pF,STAR WALKIN' (League of Legends Worlds Anthem),1,70,True,Lil Nas X,71,12310527,,0aIy6J8M9yHTnjtRu81Nr9,STAR WALKIN' (League of Legends Worlds Anthem),2022-09-22,1,single,3.5,[],['unknown'],unknown,2022
2073,3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),1,77,False,Sam Smith,81,26275803,soft pop,0gX9tkL5njRax8ymWcXARi,Unholy (feat. Kim Petras),2022-09-22,1,single,2.61,['soft pop'],['soft pop'],soft pop,2022
2074,78Sw5GDo6AlGwTwanjXbGh,Here With Me,1,4,False,d4vd,79,4681304,,0OuoHWf8yB0TPzoBWw1R1S,Here With Me,2022-09-22,1,single,4.04,[],['unknown'],unknown,2022
2075,7JWeTWbbNaJ84MKdRNSpTn,where is my mind - sped up + reverb,1,25,False,pearl,53,133588,,1alcSYUU2NH04AiRkU0rZW,where is my mind - sped up + reverb,2022-09-21,1,single,3.36,[],['unknown'],unknown,2022
2076,0JzG1wJuB4v9UPkSE7LMXi,Hotel,1,65,False,Montell Fish,72,2131649,,0ykf7jcx3yY49RpkIO1byF,Hotel,2022-09-16,1,single,3.28,[],['unknown'],unknown,2022
2077,5dz3MYiN5LrRpMvSSoF4VW,Talk to Me,1,22,True,weeklyn,30,6940,emo rap,307mZsIfrXq3jjTMKXb3ol,Talk to Me,2022-09-16,1,single,2.24,['emo rap'],['other'],other,2022
2078,3oJcdlAbl6jAD0JNHhrlsl,Die A Happy Man,13,43,False,Thomas Rhett,73,4983771,"country, acoustic country, pop country",6Pmx78TLD8ElbBvZp5GqRA,Best Country 2022,2022-09-16,20,compilation,3.8,"['country', 'acoustic country', 'pop country']",['country'],country,2022
